record_id_coga,record_id_pos,destinataire,salle,date
1025,1972,lieu_10,,2020-07-08 19:56:54
2721,2287,lieu_11,,2020-07-20 01:14:34
2768,2328,lieu_11,,2020-07-20 03:56:34
1644,2654,lieu_13,,2020-07-22 23:24:37
1027,3707,lieu_10,,2020-07-08 19:56:54
2482,5526,lieu_11,,2020-07-19 23:58:34
6,5691,lieu_12,,2020-07-21 13:39:18
9,7043,lieu_12,,2020-07-21 13:39:18
1,,lieu_12,,2020-07-21 13:39:18
119,,lieu_12,,2020-07-21 13:39:18
230,,lieu_12,,2020-07-21 13:39:18
339,,lieu_12,,2020-07-21 13:39:18
350,,lieu_12,,2020-07-21 13:39:18
361,,lieu_12,,2020-07-21 13:39:18
372,,lieu_12,,2020-07-21 13:39:18
383,,lieu_12,,2020-07-21 13:39:18
394,,lieu_12,,2020-07-21 13:39:18
2,,lieu_12,,2020-07-21 13:39:18
7,,lieu_12,,2020-07-21 13:39:18
8,,lieu_12,,2020-07-21 13:39:18
42,,lieu_12,,2020-07-21 13:39:18
53,,lieu_12,,2020-07-21 13:39:18
64,,lieu_12,,2020-07-21 13:39:18
75,,lieu_12,,2020-07-21 13:39:18
86,,lieu_12,,2020-07-21 13:39:18
97,,lieu_12,,2020-07-21 13:39:18
108,,lieu_12,,2020-07-21 13:39:18
120,,lieu_12,,2020-07-21 13:39:18
131,,lieu_12,,2020-07-21 13:39:18
142,,lieu_12,,2020-07-21 13:39:18
153,,lieu_12,,2020-07-21 13:39:18
164,,lieu_12,,2020-07-21 13:39:18
175,,lieu_12,,2020-07-21 13:39:18
186,,lieu_12,,2020-07-21 13:39:18
197,,lieu_12,,2020-07-21 13:39:18
208,,lieu_12,,2020-07-21 13:39:18
219,,lieu_12,,2020-07-21 13:39:18
231,,lieu_12,,2020-07-21 13:39:18
242,,lieu_12,,2020-07-21 13:39:18
253,,lieu_12,,2020-07-21 13:39:18
264,,lieu_12,,2020-07-21 13:39:18
275,,lieu_12,,2020-07-21 13:39:18
286,,lieu_12,,2020-07-21 13:39:18
297,,lieu_12,,2020-07-21 13:39:18
308,,lieu_12,,2020-07-21 13:39:18
319,,lieu_12,,2020-07-21 13:39:18
330,,lieu_12,,2020-07-21 13:39:18
340,,lieu_12,,2020-07-21 13:39:18
341,,lieu_12,,2020-07-21 13:39:18
342,,lieu_12,,2020-07-21 13:39:18
343,,lieu_12,,2020-07-21 13:39:18
344,,lieu_12,,2020-07-21 13:39:18
345,,lieu_12,,2020-07-21 13:39:18
346,,lieu_12,,2020-07-21 13:39:18
347,,lieu_12,,2020-07-21 13:39:18
348,,lieu_12,,2020-07-21 13:39:18
349,,lieu_12,,2020-07-21 13:39:18
351,,lieu_12,,2020-07-21 13:39:18
352,,lieu_12,,2020-07-21 13:39:18
353,,lieu_12,,2020-07-21 13:39:18
354,,lieu_12,,2020-07-21 13:39:18
355,,lieu_12,,2020-07-21 13:39:18
356,,lieu_12,,2020-07-21 13:39:18
357,,lieu_12,,2020-07-21 13:39:18
358,,lieu_12,,2020-07-21 13:39:18
359,,lieu_12,,2020-07-21 13:39:18
360,,lieu_12,,2020-07-21 13:39:18
362,,lieu_12,,2020-07-21 13:39:18
363,,lieu_12,,2020-07-21 13:39:18
364,,lieu_12,,2020-07-21 13:39:18
365,,lieu_12,,2020-07-21 13:39:18
366,,lieu_12,,2020-07-21 13:39:18
367,,lieu_12,,2020-07-21 13:39:18
368,,lieu_12,,2020-07-21 13:39:18
